Username,Tanggal,Review,Label,review_token,comment_normalize,stopwords_removal,stopwords_removal_final,stemming
Sasta Jingga,13/10/2022,rekomended buat yg ingin berwisata   driver jeepnya ramah ramah ,positif,"['rekomended', 'buat', 'yg', 'ingin', 'berwisata', 'driver', 'jeepnya', 'ramah', 'ramah']","['rekomended', 'buat', 'yg', 'ingin', 'berwisata', 'driver', 'jeepnya', 'ramah', 'ramah']","['rekomended', 'yg', 'berwisata', 'driver', 'jeepnya', 'ramah', 'ramah']","['rekomended', 'yg', 'berwisata', 'driver', 'jeepnya', 'ramah', 'ramah']","['rekomended', 'yg', 'wisata', 'driver', 'jeepnya', 'ramah', 'ramah']"
Acep Ojat,13/10/2022,tanggal  agustus   adalah kedua kalinya sy dan rombongan dr lampung datang ke bromo  pengalaman yg sangat mengasikan  masih akan ada ke tiga ke empat dst,positif,"['tanggal', 'agustus', 'adalah', 'kedua', 'kalinya', 'sy', 'dan', 'rombongan', 'dr', 'lampung', 'datang', 'ke', 'bromo', 'pengalaman', 'yg', 'sangat', 'mengasikan', 'masih', 'akan', 'ada', 'ke', 'tiga', 'ke', 'empat', 'dst']","['tanggal', 'agustus', 'adalah', 'kedua', 'kalinya', 'sy', 'dan', 'rombongan', 'dr', 'lampung', 'datang', 'ke', 'bromo', 'pengalaman', 'yg', 'sangat', 'mengasikan', 'masih', 'akan', 'ada', 'ke', 'tiga', 'ke', 'empat', 'dst']","['tanggal', 'agustus', 'kalinya', 'sy', 'rombongan', 'dr', 'lampung', 'bromo', 'pengalaman', 'yg', 'mengasikan', 'dst']","['tanggal', 'agustus', 'kalinya', 'sy', 'rombongan', 'dr', 'lampung', 'bromo', 'pengalaman', 'yg', 'mengasikan', 'dst']","['tanggal', 'agustus', 'kali', 'sy', 'rombong', 'dr', 'lampung', 'bromo', 'alam', 'yg', 'asi', 'dst']"
Tri Utomo,13/10/2022,rekomendasi wisata alam ,positif,"['rekomendasi', 'wisata', 'alam']","['rekomendasi', 'wisata', 'alam']","['rekomendasi', 'wisata', 'alam']","['rekomendasi', 'wisata', 'alam']","['rekomendasi', 'wisata', 'alam']"
Udin QC Good looking,13/10/2022,bingung,negatif,['bingung'],['bingung'],['bingung'],['bingung'],['bingung']
ayong ayong,13/10/2022,pemandangan yang luar biasa,positif,"['pemandangan', 'yang', 'luar', 'biasa']","['pemandangan', 'yang', 'luar', 'biasa']",['pemandangan'],['pemandangan'],['pandang']
MJs Reisen,13/10/2022,gunung bromo terlihat dari kejauhan saat matahari terbit  wisata gunung bromo yang memakan waktu sekita  ,positif,"['gunung', 'bromo', 'terlihat', 'dari', 'kejauhan', 'saat', 'matahari', 'terbit', 'wisata', 'gunung', 'bromo', 'yang', 'memakan', 'waktu', 'sekita']","['gunung', 'bromo', 'terlihat', 'dari', 'kejauhan', 'saat', 'matahari', 'terbit', 'wisata', 'gunung', 'bromo', 'yang', 'memakan', 'waktu', 'sekita']","['gunung', 'bromo', 'kejauhan', 'matahari', 'terbit', 'wisata', 'gunung', 'bromo', 'memakan', 'sekita']","['gunung', 'bromo', 'kejauhan', 'matahari', 'terbit', 'wisata', 'gunung', 'bromo', 'memakan', 'sekita']","['gunung', 'bromo', 'jauh', 'matahari', 'terbit', 'wisata', 'gunung', 'bromo', 'makan', 'kita']"
Raffly FC,13/10/2022,asik penuh tantangan dan rintangan,positif,"['asik', 'penuh', 'tantangan', 'dan', 'rintangan']","['asik', 'penuh', 'tantangan', 'dan', 'rintangan']","['asik', 'penuh', 'tantangan', 'rintangan']","['asik', 'penuh', 'tantangan', 'rintangan']","['asik', 'penuh', 'tantang', 'rintang']"
A’ahel Kurniawan,13/10/2022,sangat indah di pandang        ,positif,"['sangat', 'indah', 'di', 'pandang']","['sangat', 'indah', 'di', 'pandang']","['indah', 'pandang']","['indah', 'pandang']","['indah', 'pandang']"
Penok bagoes Dream art FG,13/09/2022,sangat bagus,positif,"['sangat', 'bagus']","['sangat', 'bagus']",['bagus'],['bagus'],['bagus']
Esa Ganendra,13/09/2022,luar biasa,positif,"['luar', 'biasa']","['luar', 'biasa']",[],[],[]
Laura Ribes,13/09/2022,tempat yang indah  sangat dianjurkan  kami pergi sendiri  kami pergi melihat matahari terbit dari view point seruni  kami berangkat jam  pagi  idenya jalan jalan tapi ngobrol sama seorang laki laki  akhirnya dia membawakan kami sepotong se  ,positif,"['tempat', 'yang', 'indah', 'sangat', 'dianjurkan', 'kami', 'pergi', 'sendiri', 'kami', 'pergi', 'melihat', 'matahari', 'terbit', 'dari', 'view', 'point', 'seruni', 'kami', 'berangkat', 'jam', 'pagi', 'idenya', 'jalan', 'jalan', 'tapi', 'ngobrol', 'sama', 'seorang', 'laki', 'laki', 'akhirnya', 'dia', 'membawakan', 'kami', 'sepotong', 'se']","['tempat', 'yang', 'indah', 'sangat', 'dianjurkan', 'kami', 'pergi', 'sendiri', 'kami', 'pergi', 'melihat', 'matahari', 'terbit', 'dari', 'view', 'point', 'seruni', 'kami', 'berangkat', 'jam', 'pagi', 'idenya', 'jalan', 'jalan', 'tapi', 'ngobrol', 'sama', 'seorang', 'laki', 'laki', 'akhirnya', 'dia', 'membawakan', 'kami', 'sepotong', 'se']","['indah', 'dianjurkan', 'pergi', 'pergi', 'matahari', 'terbit', 'view', 'point', 'seruni', 'berangkat', 'jam', 'pagi', 'idenya', 'jalan', 'jalan', 'ngobrol', 'laki', 'laki', 'membawakan', 'sepotong']","['indah', 'dianjurkan', 'pergi', 'pergi', 'matahari', 'terbit', 'view', 'point', 'seruni', 'berangkat', 'jam', 'pagi', 'idenya', 'jalan', 'jalan', 'ngobrol', 'laki', 'laki', 'membawakan', 'sepotong']","['indah', 'anjur', 'pergi', 'pergi', 'matahari', 'terbit', 'view', 'point', 'seruni', 'berangkat', 'jam', 'pagi', 'ide', 'jalan', 'jalan', 'ngobrol', 'laki', 'laki', 'bawa', 'potong']"
Danel Official,13/09/2022,mantap,positif,['mantap'],['mantap'],['mantap'],['mantap'],['mantap']
Lipzz Ganzz,13/09/2022,suka sekalih dengan pemandangan bromo,positif,"['suka', 'sekalih', 'dengan', 'pemandangan', 'bromo']","['suka', 'sekalih', 'dengan', 'pemandangan', 'bromo']","['suka', 'sekalih', 'pemandangan', 'bromo']","['suka', 'sekalih', 'pemandangan', 'bromo']","['suka', 'kalih', 'pandang', 'bromo']"
Surya Rismayani,13/09/2022,kereeenn,positif,['kereeenn'],['kereeenn'],['kereeenn'],['kereeenn'],['kereeenn']
Carlos González,13/09/2022,menyaksikan matahari terbit di gunung bromo adalah pengalaman yang luar biasa  anda harus bangun pagi pagi sekali  tetapi itu sangat berharga karena setelah berjalan kaki singkat anda tiba di sudut pandang di mana anda dapat melihat gunung berapi dan dataran pasir besar yang mengelilinginya  sangat mengesankan meliha  ,positif,"['menyaksikan', 'matahari', 'terbit', 'di', 'gunung', 'bromo', 'adalah', 'pengalaman', 'yang', 'luar', 'biasa', 'anda', 'harus', 'bangun', 'pagi', 'pagi', 'sekali', 'tetapi', 'itu', 'sangat', 'berharga', 'karena', 'setelah', 'berjalan', 'kaki', 'singkat', 'anda', 'tiba', 'di', 'sudut', 'pandang', 'di', 'mana', 'anda', 'dapat', 'melihat', 'gunung', 'berapi', 'dan', 'dataran', 'pasir', 'besar', 'yang', 'mengelilinginya', 'sangat', 'mengesankan', 'meliha']","['menyaksikan', 'matahari', 'terbit', 'di', 'gunung', 'bromo', 'adalah', 'pengalaman', 'yang', 'luar', 'biasa', 'anda', 'harus', 'bangun', 'pagi', 'pagi', 'sekali', 'tetapi', 'itu', 'sangat', 'berharga', 'karena', 'setelah', 'berjalan', 'kaki', 'singkat', 'anda', 'tiba', 'di', 'sudut', 'pandang', 'di', 'mana', 'anda', 'dapat', 'melihat', 'gunung', 'berapi', 'dan', 'dataran', 'pasir', 'besar', 'yang', 'mengelilinginya', 'sangat', 'mengesankan', 'meliha']","['menyaksikan', 'matahari', 'terbit', 'gunung', 'bromo', 'pengalaman', 'bangun', 'pagi', 'pagi', 'berharga', 'berjalan', 'kaki', 'singkat', 'sudut', 'pandang', 'gunung', 'berapi', 'dataran', 'pasir', 'mengelilinginya', 'mengesankan', 'meliha']","['menyaksikan', 'matahari', 'terbit', 'gunung', 'bromo', 'pengalaman', 'bangun', 'pagi', 'pagi', 'berharga', 'berjalan', 'kaki', 'singkat', 'sudut', 'pandang', 'gunung', 'berapi', 'dataran', 'pasir', 'mengelilinginya', 'mengesankan', 'meliha']","['saksi', 'matahari', 'terbit', 'gunung', 'bromo', 'alam', 'bangun', 'pagi', 'pagi', 'harga', 'jalan', 'kaki', 'singkat', 'sudut', 'pandang', 'gunung', 'rap', 'datar', 'pasir', 'keliling', 'kesan', 'meliha']"
Agus Puji,13/09/2022,mantap kenangan seumur hidup,positif,"['mantap', 'kenangan', 'seumur', 'hidup']","['mantap', 'kenangan', 'seumur', 'hidup']","['mantap', 'kenangan', 'seumur', 'hidup']","['mantap', 'kenangan', 'seumur', 'hidup']","['mantap', 'kenang', 'umur', 'hidup']"
wahyu azhima,13/09/2022,naik  anak tangga  jam  dini hari masih gelap  terbayarkan dapat sunrise ,positif,"['naik', 'anak', 'tangga', 'jam', 'dini', 'hari', 'masih', 'gelap', 'terbayarkan', 'dapat', 'sunrise']","['naik', 'anak', 'tangga', 'jam', 'dini', 'hari', 'masih', 'gelap', 'terbayarkan', 'dapat', 'sunrise']","['anak', 'tangga', 'jam', 'gelap', 'terbayarkan', 'sunrise']","['anak', 'tangga', 'jam', 'gelap', 'terbayarkan', 'sunrise']","['anak', 'tangga', 'jam', 'gelap', 'bayar', 'sunrise']"
Jadium Sebayang,13/09/2022,tempat y ng bagus,positif,"['tempat', 'y', 'ng', 'bagus']","['tempat', 'y', 'ng', 'bagus']","['y', 'ng', 'bagus']","['y', 'ng', 'bagus']","['y', 'ng', 'bagus']"
Daus Firdaus,13/09/2022,bagus,positif,['bagus'],['bagus'],['bagus'],['bagus'],['bagus']
Gosek osage,13/09/2022,view luar bisa untuk para traveling,positif,"['view', 'luar', 'bisa', 'untuk', 'para', 'traveling']","['view', 'luar', 'bisa', 'untuk', 'para', 'traveling']","['view', 'traveling']","['view', 'traveling']","['view', 'traveling']"
Miftachul Jannah,13/09/2022,pas libur nasional wisata gn  bromo sangat byk pengunjungnya  hingga saat naik dikawah  penuh walisatawan  jd butuh waktu lama untuk sampai keatas siapkan tenaga   ada sewa kuda juga cm sampai depan tangga saja  tp lumayanlah mengurangi capek,positif,"['pas', 'libur', 'nasional', 'wisata', 'gn', 'bromo', 'sangat', 'byk', 'pengunjungnya', 'hingga', 'saat', 'naik', 'dikawah', 'penuh', 'walisatawan', 'jd', 'butuh', 'waktu', 'lama', 'untuk', 'sampai', 'keatas', 'siapkan', 'tenaga', 'ada', 'sewa', 'kuda', 'juga', 'cm', 'sampai', 'depan', 'tangga', 'saja', 'tp', 'lumayanlah', 'mengurangi', 'capek']","['pas', 'libur', 'nasional', 'wisata', 'gn', 'bromo', 'sangat', 'byk', 'pengunjungnya', 'hingga', 'saat', 'naik', 'dikawah', 'penuh', 'walisatawan', 'jd', 'butuh', 'waktu', 'lama', 'untuk', 'sampai', 'keatas', 'siapkan', 'tenaga', 'ada', 'sewa', 'kuda', 'juga', 'cm', 'sampai', 'depan', 'tangga', 'saja', 'tp', 'lumayanlah', 'mengurangi', 'capek']","['pas', 'libur', 'nasional', 'wisata', 'gn', 'bromo', 'byk', 'pengunjungnya', 'dikawah', 'penuh', 'walisatawan', 'jd', 'butuh', 'keatas', 'siapkan', 'tenaga', 'sewa', 'kuda', 'cm', 'tangga', 'tp', 'lumayanlah', 'mengurangi', 'capek']","['pas', 'libur', 'nasional', 'wisata', 'gn', 'bromo', 'byk', 'pengunjungnya', 'dikawah', 'penuh', 'walisatawan', 'jd', 'butuh', 'keatas', 'siapkan', 'tenaga', 'sewa', 'kuda', 'cm', 'tangga', 'tp', 'lumayanlah', 'mengurangi', 'capek']","['pas', 'libur', 'nasional', 'wisata', 'gn', 'bromo', 'byk', 'unjung', 'kawah', 'penuh', 'walisatawan', 'jd', 'butuh', 'atas', 'siap', 'tenaga', 'sewa', 'kuda', 'cm', 'tangga', 'tp', 'lumayan', 'kurang', 'capek']"
Anahanah1976 Anah,13/09/2022,tempat y indah dan bagus,positif,"['tempat', 'y', 'indah', 'dan', 'bagus']","['tempat', 'y', 'indah', 'dan', 'bagus']","['y', 'indah', 'bagus']","['y', 'indah', 'bagus']","['y', 'indah', 'bagus']"
Heri Sugi,13/09/2022,sebuah destinasi sungguh menakjupkan keindahan kawah gunung bromo,positif,"['sebuah', 'destinasi', 'sungguh', 'menakjupkan', 'keindahan', 'kawah', 'gunung', 'bromo']","['sebuah', 'destinasi', 'sungguh', 'menakjupkan', 'keindahan', 'kawah', 'gunung', 'bromo']","['destinasi', 'sungguh', 'menakjupkan', 'keindahan', 'kawah', 'gunung', 'bromo']","['destinasi', 'sungguh', 'menakjupkan', 'keindahan', 'kawah', 'gunung', 'bromo']","['destinasi', 'sungguh', 'menakjupkan', 'indah', 'kawah', 'gunung', 'bromo']"
Dedy Fadly,13/09/2022,bromo    pokoknya mantap deh    dinginnya luar biasa  ngeliat dari atas wisata jeep yg bgitu hiruk pikuk ngangkut pengunjung   persis mobil tamiya    ,positif,"['bromo', 'pokoknya', 'mantap', 'deh', 'dinginnya', 'luar', 'biasa', 'ngeliat', 'dari', 'atas', 'wisata', 'jeep', 'yg', 'bgitu', 'hiruk', 'pikuk', 'ngangkut', 'pengunjung', 'persis', 'mobil', 'tamiya']","['bromo', 'pokoknya', 'mantap', 'deh', 'dinginnya', 'luar', 'biasa', 'ngeliat', 'dari', 'atas', 'wisata', 'jeep', 'yg', 'bgitu', 'hiruk', 'pikuk', 'ngangkut', 'pengunjung', 'persis', 'mobil', 'tamiya']","['bromo', 'pokoknya', 'mantap', 'deh', 'dinginnya', 'ngeliat', 'wisata', 'jeep', 'yg', 'bgitu', 'hiruk', 'pikuk', 'ngangkut', 'pengunjung', 'persis', 'mobil', 'tamiya']","['bromo', 'pokoknya', 'mantap', 'deh', 'dinginnya', 'ngeliat', 'wisata', 'jeep', 'yg', 'bgitu', 'hiruk', 'pikuk', 'ngangkut', 'pengunjung', 'persis', 'mobil', 'tamiya']","['bromo', 'pokok', 'mantap', 'deh', 'dingin', 'ngeliat', 'wisata', 'jeep', 'yg', 'bgitu', 'hiruk', 'pikuk', 'ngangkut', 'unjung', 'persis', 'mobil', 'tamiya']"
Guntoro Ary,13/09/2022,kesini dan saya jamin tidak menyesal   ,positif,"['kesini', 'dan', 'saya', 'jamin', 'tidak', 'menyesal']","['kesini', 'dan', 'saya', 'jamin', 'tidak', 'menyesal']","['kesini', 'jamin', 'menyesal']","['kesini', 'jamin', 'menyesal']","['kesini', 'jamin', 'sesal']"
multi tohirin,13/09/2022,menakjubkan,positif,['menakjubkan'],['menakjubkan'],['menakjubkan'],['menakjubkan'],['takjub']
Muhammad Yunus Syam,13/09/2022,yakin lh stiap gunung di indonesia semuanya indah  ,positif,"['yakin', 'lh', 'stiap', 'gunung', 'di', 'indonesia', 'semuanya', 'indah']","['yakin', 'lh', 'stiap', 'gunung', 'di', 'indonesia', 'semuanya', 'indah']","['lh', 'stiap', 'gunung', 'indonesia', 'indah']","['lh', 'stiap', 'gunung', 'indonesia', 'indah']","['lh', 'stiap', 'gunung', 'indonesia', 'indah']"
Harry,13/09/2022,bromo bagus  indah  menikmati sunrise  suerr ini dingin bgt perlu jaket tebel bt ngangetin badan ,positif,"['bromo', 'bagus', 'indah', 'menikmati', 'sunrise', 'suerr', 'ini', 'dingin', 'bgt', 'perlu', 'jaket', 'tebel', 'bt', 'ngangetin', 'badan']","['bromo', 'bagus', 'indah', 'menikmati', 'sunrise', 'suerr', 'ini', 'dingin', 'bgt', 'perlu', 'jaket', 'tebel', 'bt', 'ngangetin', 'badan']","['bromo', 'bagus', 'indah', 'menikmati', 'sunrise', 'suerr', 'dingin', 'bgt', 'jaket', 'tebel', 'bt', 'ngangetin', 'badan']","['bromo', 'bagus', 'indah', 'menikmati', 'sunrise', 'suerr', 'dingin', 'bgt', 'jaket', 'tebel', 'bt', 'ngangetin', 'badan']","['bromo', 'bagus', 'indah', 'nikmat', 'sunrise', 'suerr', 'dingin', 'bgt', 'jaket', 'tebel', 'bt', 'ngangetin', 'badan']"
BAKTI WIRAWAN,13/09/2022,luar biasa panoramanya serta keindahan ciptaan alloh swt yang tak mubgkin terlewati    ,positif,"['luar', 'biasa', 'panoramanya', 'serta', 'keindahan', 'ciptaan', 'alloh', 'swt', 'yang', 'tak', 'mubgkin', 'terlewati']","['luar', 'biasa', 'panoramanya', 'serta', 'keindahan', 'ciptaan', 'alloh', 'swt', 'yang', 'tak', 'mubgkin', 'terlewati']","['panoramanya', 'keindahan', 'ciptaan', 'alloh', 'swt', 'mubgkin', 'terlewati']","['panoramanya', 'keindahan', 'ciptaan', 'alloh', 'swt', 'mubgkin', 'terlewati']","['panorama', 'indah', 'cipta', 'alloh', 'swt', 'mubgkin', 'lewat']"
Laia Roman,13/09/2022,gunung berapi yang luar biasa  untuk mengunjunginya  saya sarankan bangun pagi untuk melihat matahari terbit  tidak ada kata kata untuk menggambarkan betapa indahnya perubahan warna yang dihasilkan selama proses tersebut  dan kemudian pergi ke roknya untuk mendakinya dan dari atas mengamatinya  pedalaman  harus mengunj  ,positif,"['gunung', 'berapi', 'yang', 'luar', 'biasa', 'untuk', 'mengunjunginya', 'saya', 'sarankan', 'bangun', 'pagi', 'untuk', 'melihat', 'matahari', 'terbit', 'tidak', 'ada', 'kata', 'kata', 'untuk', 'menggambarkan', 'betapa', 'indahnya', 'perubahan', 'warna', 'yang', 'dihasilkan', 'selama', 'proses', 'tersebut', 'dan', 'kemudian', 'pergi', 'ke', 'roknya', 'untuk', 'mendakinya', 'dan', 'dari', 'atas', 'mengamatinya', 'pedalaman', 'harus', 'mengunj']","['gunung', 'berapi', 'yang', 'luar', 'biasa', 'untuk', 'mengunjunginya', 'saya', 'sarankan', 'bangun', 'pagi', 'untuk', 'melihat', 'matahari', 'terbit', 'tidak', 'ada', 'kata', 'kata', 'untuk', 'menggambarkan', 'betapa', 'indahnya', 'perubahan', 'warna', 'yang', 'dihasilkan', 'selama', 'proses', 'tersebut', 'dan', 'kemudian', 'pergi', 'ke', 'roknya', 'untuk', 'mendakinya', 'dan', 'dari', 'atas', 'mengamatinya', 'pedalaman', 'harus', 'mengunj']","['gunung', 'berapi', 'mengunjunginya', 'sarankan', 'bangun', 'pagi', 'matahari', 'terbit', 'menggambarkan', 'betapa', 'indahnya', 'perubahan', 'warna', 'dihasilkan', 'proses', 'pergi', 'roknya', 'mendakinya', 'mengamatinya', 'pedalaman', 'mengunj']","['gunung', 'berapi', 'mengunjunginya', 'sarankan', 'bangun', 'pagi', 'matahari', 'terbit', 'menggambarkan', 'betapa', 'indahnya', 'perubahan', 'warna', 'dihasilkan', 'proses', 'pergi', 'roknya', 'mendakinya', 'mengamatinya', 'pedalaman', 'mengunj']","['gunung', 'rap', 'unjung', 'saran', 'bangun', 'pagi', 'matahari', 'terbit', 'gambar', 'betapa', 'indah', 'ubah', 'warna', 'hasil', 'proses', 'pergi', 'rok', 'mendak', 'amat', 'dalam', 'mengunj']"
nuridaarifin Arifin,13/09/2022,puas ciptaanmu sungguh indah,positif,"['puas', 'ciptaanmu', 'sungguh', 'indah']","['puas', 'ciptaanmu', 'sungguh', 'indah']","['puas', 'ciptaanmu', 'sungguh', 'indah']","['puas', 'ciptaanmu', 'sungguh', 'indah']","['puas', 'cipta', 'sungguh', 'indah']"
Putri Brilliantsyah,13/09/2022,dingin nya masyallah    tp terbayar sama keindahan sunset di pagi harinya    bagus bgt   next pngen k sini lagi lah kapan    nb pkek baju double  pun tetap sedingin itu woy  ,positif,"['dingin', 'nya', 'masyallah', 'tp', 'terbayar', 'sama', 'keindahan', 'sunset', 'di', 'pagi', 'harinya', 'bagus', 'bgt', 'next', 'pngen', 'k', 'sini', 'lagi', 'lah', 'kapan', 'nb', 'pkek', 'baju', 'double', 'pun', 'tetap', 'sedingin', 'itu', 'woy']","['dingin', 'nya', 'masyallah', 'tp', 'terbayar', 'sama', 'keindahan', 'sunset', 'di', 'pagi', 'harinya', 'bagus', 'bgt', 'next', 'pngen', 'k', 'sini', 'lagi', 'lah', 'kapan', 'nb', 'pkek', 'baju', 'double', 'pun', 'tetap', 'sedingin', 'itu', 'woy']","['dingin', 'nya', 'masyallah', 'tp', 'terbayar', 'keindahan', 'sunset', 'pagi', 'harinya', 'bagus', 'bgt', 'next', 'pngen', 'k', 'nb', 'pkek', 'baju', 'double', 'sedingin', 'woy']","['dingin', 'nya', 'masyallah', 'tp', 'terbayar', 'keindahan', 'sunset', 'pagi', 'harinya', 'bagus', 'bgt', 'next', 'pngen', 'k', 'nb', 'pkek', 'baju', 'double', 'sedingin', 'woy']","['dingin', 'nya', 'masyallah', 'tp', 'bayar', 'indah', 'sunset', 'pagi', 'hari', 'bagus', 'bgt', 'next', 'pngen', 'k', 'nb', 'pkek', 'baju', 'double', 'sedingin', 'woy']"
Bambang Soetanto,13/09/2022,dingin   cocok untuk pencari sunrise  sunset  atau kabut  juga sudah ada playparknya,positif,"['dingin', 'cocok', 'untuk', 'pencari', 'sunrise', 'sunset', 'atau', 'kabut', 'juga', 'sudah', 'ada', 'playparknya']","['dingin', 'cocok', 'untuk', 'pencari', 'sunrise', 'sunset', 'atau', 'kabut', 'juga', 'sudah', 'ada', 'playparknya']","['dingin', 'cocok', 'pencari', 'sunrise', 'sunset', 'kabut', 'playparknya']","['dingin', 'cocok', 'pencari', 'sunrise', 'sunset', 'kabut', 'playparknya']","['dingin', 'cocok', 'cari', 'sunrise', 'sunset', 'kabut', 'playparknya']"
Arek AG,13/09/2022,pemandanganya indah   ,positif,"['pemandanganya', 'indah']","['pemandanganya', 'indah']","['pemandanganya', 'indah']","['pemandanganya', 'indah']","['pemandanganya', 'indah']"
Muhammad Amin,13/09/2022,berubah pesat selama dekade ini  kalu dulu pernah kesini pasti pangling,positif,"['berubah', 'pesat', 'selama', 'dekade', 'ini', 'kalu', 'dulu', 'pernah', 'kesini', 'pasti', 'pangling']","['berubah', 'pesat', 'selama', 'dekade', 'ini', 'kalu', 'dulu', 'pernah', 'kesini', 'pasti', 'pangling']","['berubah', 'pesat', 'dekade', 'kalu', 'kesini', 'pangling']","['berubah', 'pesat', 'dekade', 'kalu', 'kesini', 'pangling']","['ubah', 'pesat', 'dekade', 'kalu', 'kesini', 'pangling']"
Irma Ayu,13/09/2022,tempat bersih  cocok untuk destinasi wisata,positif,"['tempat', 'bersih', 'cocok', 'untuk', 'destinasi', 'wisata']","['tempat', 'bersih', 'cocok', 'untuk', 'destinasi', 'wisata']","['bersih', 'cocok', 'destinasi', 'wisata']","['bersih', 'cocok', 'destinasi', 'wisata']","['bersih', 'cocok', 'destinasi', 'wisata']"
Elodie B,13/09/2022,benar benar sangat mengesankan  kami berjalan mengelilingi kawah  setelah beberapa ratus meter tidak ada lagi turis dan pemandangan yang luar biasa  di sisi lain  jalur menjadi hampir tidak ada di sekitar   belokan dan menjadi berbahay  ,positif,"['benar', 'benar', 'sangat', 'mengesankan', 'kami', 'berjalan', 'mengelilingi', 'kawah', 'setelah', 'beberapa', 'ratus', 'meter', 'tidak', 'ada', 'lagi', 'turis', 'dan', 'pemandangan', 'yang', 'luar', 'biasa', 'di', 'sisi', 'lain', 'jalur', 'menjadi', 'hampir', 'tidak', 'ada', 'di', 'sekitar', 'belokan', 'dan', 'menjadi', 'berbahay']","['benar', 'benar', 'sangat', 'mengesankan', 'kami', 'berjalan', 'mengelilingi', 'kawah', 'setelah', 'beberapa', 'ratus', 'meter', 'tidak', 'ada', 'lagi', 'turis', 'dan', 'pemandangan', 'yang', 'luar', 'biasa', 'di', 'sisi', 'lain', 'jalur', 'menjadi', 'hampir', 'tidak', 'ada', 'di', 'sekitar', 'belokan', 'dan', 'menjadi', 'berbahay']","['mengesankan', 'berjalan', 'mengelilingi', 'kawah', 'ratus', 'meter', 'turis', 'pemandangan', 'sisi', 'jalur', 'belokan', 'berbahay']","['mengesankan', 'berjalan', 'mengelilingi', 'kawah', 'ratus', 'meter', 'turis', 'pemandangan', 'sisi', 'jalur', 'belokan', 'berbahay']","['kesan', 'jalan', 'keliling', 'kawah', 'ratus', 'meter', 'turis', 'pandang', 'sisi', 'jalur', 'belok', 'berbahay']"
Florent Yudi,13/09/2022,indahnya      ,positif,['indahnya'],['indahnya'],['indahnya'],['indahnya'],['indah']
Sriutami Hatiningsih,13/09/2022,pengen balik kesana lagi,positif,"['pengen', 'balik', 'kesana', 'lagi']","['pengen', 'balik', 'kesana', 'lagi']","['pengen', 'kesana']","['pengen', 'kesana']","['ken', 'kesana']"
Agnisotya,13/09/2022,tempat yang slalu ingin saya kunjungi,positif,"['tempat', 'yang', 'slalu', 'ingin', 'saya', 'kunjungi']","['tempat', 'yang', 'slalu', 'ingin', 'saya', 'kunjungi']","['slalu', 'kunjungi']","['slalu', 'kunjungi']","['slalu', 'kunjung']"
Ir Sugito,13/09/2022,pas melayani turis asing sedikit kecewa karena tidak ada nya standard resmi utk penyewaan motor yg banyak di kuasai penduduk lokal bayar toilet utk buang air kecil saja di tarif sesuka nya oleh penjaga toilet,negatif,"['pas', 'melayani', 'turis', 'asing', 'sedikit', 'kecewa', 'karena', 'tidak', 'ada', 'nya', 'standard', 'resmi', 'utk', 'penyewaan', 'motor', 'yg', 'banyak', 'di', 'kuasai', 'penduduk', 'lokal', 'bayar', 'toilet', 'utk', 'buang', 'air', 'kecil', 'saja', 'di', 'tarif', 'sesuka', 'nya', 'oleh', 'penjaga', 'toilet']","['pas', 'melayani', 'turis', 'asing', 'sedikit', 'kecewa', 'karena', 'tidak', 'ada', 'nya', 'standard', 'resmi', 'utk', 'penyewaan', 'motor', 'yg', 'banyak', 'di', 'kuasai', 'penduduk', 'lokal', 'bayar', 'toilet', 'utk', 'buang', 'air', 'kecil', 'saja', 'di', 'tarif', 'sesuka', 'nya', 'oleh', 'penjaga', 'toilet']","['pas', 'melayani', 'turis', 'asing', 'kecewa', 'nya', 'standard', 'resmi', 'utk', 'penyewaan', 'motor', 'yg', 'kuasai', 'penduduk', 'lokal', 'bayar', 'toilet', 'utk', 'buang', 'air', 'tarif', 'sesuka', 'nya', 'penjaga', 'toilet']","['pas', 'melayani', 'turis', 'asing', 'kecewa', 'nya', 'standard', 'resmi', 'utk', 'penyewaan', 'motor', 'yg', 'kuasai', 'penduduk', 'lokal', 'bayar', 'toilet', 'utk', 'buang', 'air', 'tarif', 'sesuka', 'nya', 'penjaga', 'toilet']","['pas', 'layan', 'turis', 'asing', 'kecewa', 'nya', 'standard', 'resmi', 'utk', 'sewa', 'motor', 'yg', 'kuasa', 'duduk', 'lokal', 'bayar', 'toilet', 'utk', 'buang', 'air', 'tarif', 'suka', 'nya', 'jaga', 'toilet']"
Jenal Abidin,13/09/2022,wisata alam yang menawan,positif,"['wisata', 'alam', 'yang', 'menawan']","['wisata', 'alam', 'yang', 'menawan']","['wisata', 'alam', 'menawan']","['wisata', 'alam', 'menawan']","['wisata', 'alam', 'tawan']"
RFAJRI,13/09/2022,dingin  suasananya seperti bukan di indonesia  berbeda dengan tempat  ,positif,"['dingin', 'suasananya', 'seperti', 'bukan', 'di', 'indonesia', 'berbeda', 'dengan', 'tempat']","['dingin', 'suasananya', 'seperti', 'bukan', 'di', 'indonesia', 'berbeda', 'dengan', 'tempat']","['dingin', 'suasananya', 'indonesia', 'berbeda']","['dingin', 'suasananya', 'indonesia', 'berbeda']","['dingin', 'suasana', 'indonesia', 'beda']"
